Day,Close,Volume,MA_20,MA_40
2020-01-01,128.74,10641.0791447,,
2020-01-02,130.25,11842.45114408,,
2020-01-03,126.83,22800.22636121,,
2020-01-04,133.94,7537.04870097,,
2020-01-05,134.14,7015.12662619,,
2020-01-06,135.39,34466.62471756,,
2020-01-07,144.12,12391.39757496,,
2020-01-08,143.22,16867.66222341,,
2020-01-09,141.12,0.0,,
2020-01-10,137.76,13340.58483047,,
2020-01-11,144.91,10286.52833457,,
2020-01-12,142.59,4002.3283975,,
2020-01-13,146.95,5901.07930045,,
2020-01-14,143.78,43694.8624173,,
2020-01-15,163.7,22286.46936886,,
2020-01-16,166.2,17747.09217466,,
2020-01-17,164.04,19438.79322729,,
2020-01-18,169.46,10761.97168895,,
2020-01-19,173.99,18208.91575583,,
2020-01-20,166.95,21125.93491948,146.904,
2020-01-21,166.94,5977.03723667,148.81400000000002,
2020-01-22,169.41,8292.14371633,150.772,
2020-01-23,167.77,1.581933,152.819,
2020-01-24,162.62,7694.89663673,154.253,
2020-01-25,162.53,3817.81178098,155.67249999999999,
2020-01-26,159.14,5125.88704301,156.85999999999999,
2020-01-27,167.82,10356.24905922,158.04500000000002,
2020-01-28,169.99,11890.432841759999,159.38349999999997,
2020-01-29,176.34,14301.90594615,161.1445,
2020-01-30,172.95,13142.34389659,162.904,
2020-01-31,184.46,25967.46691139,164.8815,
2020-02-01,179.75,4090.49590129,166.7395,
2020-02-02,183.54,15310.91302901,168.56900000000002,
2020-02-03,188.36,15685.51692217,170.798,
2020-02-04,189.45,8563.40187314,172.0855,
2020-02-05,188.3,15342.50039246,173.1905,
2020-02-06,203.93,0.404452,175.185,
2020-02-07,213.19,8486.63785746,177.37150000000003,
2020-02-08,223.03,22035.78934008,179.8235,
2020-02-09,223.89,15128.747588639999,182.6705,164.78725
2020-02-10,228.98,20264.377390910002,185.77249999999998,167.29325
2020-02-11,223.7,32170.53889716,188.48700000000002,169.6295
2020-02-12,237.9,47546.50693989,191.99349999999998,172.40625
2020-02-13,266.72,43485.40264718,197.19850000000002,175.72575
2020-02-14,268.76,12151.56106353,202.51,179.09125
2020-02-15,286.0,24828.65733366,208.853,182.8565
2020-02-16,264.94,43567.01499128,213.709,185.877
2020-02-17,258.74,18833.79508213,218.1465,188.765
2020-02-18,268.6,24360.51600834,222.75950000000003,191.952
2020-02-19,283.16,29264.97017531,228.27000000000004,195.587
2020-02-20,257.77,148.992031,231.9355,198.4085
2020-02-21,257.41,9134.51847385,235.8185,201.279
2020-02-22,265.59,5912.03476673,239.921,204.245
2020-02-23,262.51,6000.0287424,243.62849999999997,207.21325000000002
